Tabla Variable u
  Vivienda    Material    Variante    Trabajador    Maquina       Días
         1           1           6            27          2   0
         1           1           6            27          3   0
         1           1           6            28          1   0
         1           1           6            28          2   0
         1           1           6            28          3   0
         1           1           6            29          1   0
         1           1           6            29          2   0
         1           1           6            29          3   0
         1           1           6            30          1   0
         1           1           6            30          2   0
         1           1           6            30          3   0
         1           2           1             1          1   0
         1           2           1             1          2   0
         1           2           1             1          3   0
         1           2           1             2          1   0
         1           2           1             2          2   0
         1           2           1             2          3   0
         1           2           1             3          1   0
         1           2           1             3          2   0
         1           2           1             3          3   0
         1           2           1             4          1   0
         1           2           1             4          2   0
         1           2           1             4          3   0
         1           2           1             5          1   0
         1           2           1             5          2   0
         1           2           1             5          3   0
         1           2           1             6          1   0
         1           2           1             6          2   0
         1           2           1             6          3   0
         1           2           1             7          1   0
         1           2           1             7          2   0
         1           2           1             7          3   0
         1           2           1             8          1   0
         1           2           1             8          2   0
         1           2           1             8          3   0
         1           2           1             9          1   0
         1           2           1             9          2   0
         1           2           1             9          3   0
         1           2           1            10          1   0
         1           2           1            10          2   0
         1           2           1            10          3   0
         1           2           1            11          1   0
         1           2           1            11          2   0
         1           2           1            11          3   0
         1           2           1            12          1   0
         1           2           1            12          2   0
         1           2           1            12          3   0
         1           2           1            13          1   0
         1           2           1            13          2   0
         1           2           1            13          3   0
         1           2           1            14          1   0
         1           2           1            14          2   0
         1           2           1            14          3   0
         1           2           1            15          1   0
         1           2           1            15          2   0
         1           2           1            15          3   0
         1           2           1            16          1   0
         1           2           1            16          2   0
         1           2           1            16          3   0
         1           2           1            17          1   0
         1           2           1            17          2   0
         1           2           1            17          3   0
         1           2           1            18          1   0
         1           2           1            18          2   0
         1           2           1            18          3   0
         1           2           1            19          1   0
         1           2           1            19          2   0
         1           2           1            19          3   0
         1           2           1            20          1   0
         1           2           1            20          2   0
         1           2           1            20          3   0
         1           2           1            21          1   0
         1           2           1            21          2   0
         1           2           1            21          3   0
         1           2           1            22          1   0
         1           2           1            22          2   0
         1           2           1            22          3   0
         1           2           1            23          1   0
         1           2           1            23          2   0
         1           2           1            23          3   0
         1           2           1            24          1   0
         1           2           1            24          2   0
         1           2           1            24          3   0
         1           2           1            25          1   0
         1           2           1            25          2   0
         1           2           1            25          3   0
         1           2           1            26          1   0
         1           2           1            26          2   0
         1           2           1            26          3   0
         1           2           1            27          1   0
         1           2           1            27          2   0
         1           2           1            27          3   0
         1           2           1            28          1   0
         1           2           1            28          2   0
         1           2           1            28          3   0
         1           2           1            29          1   0
         1           2           1            29          2   0
         1           2           1            29          3   0
         1           2           1            30          1   0
         1           2           1            30          2   0
         1           2           1            30          3   0
         1           2           2             1          1   0
         1           2           2             1          2   0
         1           2           2             1          3   0
         1           2           2             2          1   0
         1           2           2             2          2   0
         1           2           2             2          3   0
         1           2           2             3          1   0
         1           2           2             3          2   0
         1           2           2             3          3   0
         1           2           2             4          1   0
         1           2           2             4          2   0
         1           2           2             4          3   0
         1           2           2             5          1   0
         1           2           2             5          2   0
         1           2           2             5          3   0
         1           2           2             6          1   0
         1           2           2             6          2   0
         1           2           2             6          3   0
         1           2           2             7          1   0
         1           2           2             7          2   0
         1           2           2             7          3   0
         1           2           2             8          1   0
         1           2           2             8          2   0
         1           2           2             8          3   0
         1           2           2             9          1   0
         1           2           2             9          2   0
         1           2           2             9          3   0
         1           2           2            10          1   0
         1           2           2            10          2   0
         1           2           2            10          3   0
         1           2           2            11          1   0
         1           2           2            11          2   0
         1           2           2            11          3   0
         1           2           2            12          1   0
         1           2           2            12          2   0
         1           2           2            12          3   0
         1           2           2            13          1   0
         1           2           2            13          2   0
         1           2           2            13          3   0
         1           2           2            14          1   0
         1           2           2            14          2   0
         1           2           2            14          3   0
         1           2           2            15          1   0
         1           2           2            15          2   0
         1           2           2            15          3   0
         1           2           2            16          1   0
         1           2           2            16          2   0
         1           2           2            16          3   0
         1           2           2            17          1   0
         1           2           2            17          2   0
         1           2           2            17          3   0
         1           2           2            18          1   0
         1           2           2            18          2   0
         1           2           2            18          3   0
         1           2           2            19          1   0
         1           2           2            19          2   0
         1           2           2            19          3   0
         1           2           2            20          1   0
         1           2           2            20          2   0
         1           2           2            20          3   0
         1           2           2            21          1   0
         1           2           2            21          2   0
         1           2           2            21          3   0
         1           2           2            22          1   0
         1           2           2            22          2   0
         1           2           2            22          3   0
         1           2           2            23          1   0
         1           2           2            23          2   0
         1           2           2            23          3   0
         1           2           2            24          1   0
         1           2           2            24          2   0
