El proyecto tiene un costo de 156018891.3719821 $CLP
Tabla R2
  Vivienda    Material-Variante    Cantidad Utilizada
----------  -------------------  --------------------
         6           2           6  183.629       85.409
         6           2           7  232.514       45.591
         6           3           6  555.9        109
         6           4           6    0.259368     0.0518737
         6           4           7   13.654        6.35072
         6           5           2   16.9758       3.39515
         6           5           3    4.35584      2.1248
         6           6           4   25.3371      12.3596
         6           7           5  452           90.4
         7           1           6  311.75       145
         7           2           5  109.609       21.0787
         7           2           6  575.335      108.554
         7           3           6  484.5         95
         7           4           7   13.475        5
         7           5           4    7.175        3.5
         7           6           4   29.9438      14.6067
         7           7           5  300           60
         8           1           6  341.85       159
         8           2           6  637.629      120.307
         8           2           7   98.4634      19.6927
         8           3           3    0.0634866    0.0634866
         8           3           6  514.87       100.955
         8           4           1    0.608        0.608
         8           4           2    0.234783     0.234783
         8           4           7   17.1089       6.01064
         8           5           4    9.3275       4.55
         8           6           4   32.2472      15.7303
         8           7           5  390           78
         9           1           3   17.46        17.46
         9           1           4   19.4         19.4
         9           1           5   21.5         21.5
         9           1           6  231.882      120.695
         9           2           4   16.75        16.75
         9           2           5   18.71        18.71
         9           2           6   19.73        19.73
         9           2           7  439.182      103.716
         9           3           3    8.92356      8.92356
         9           3           4   12.88        12.88
         9           3           5   14.64        14.64
         9           3           6   91.1595      30.1423
         9           3           7  224.465       55.9028
         9           4           2    0.426217     0.426217
         9           4           3    0.751        0.751
         9           4           4    0.877        0.877
         9           4           5    0.899        0.899
         9           4           6    1.023        1.023
         9           4           7   12.8364       4.63864
         9           5           1    0.391        0.391
         9           5           2    0.502        0.502
         9           5           3    0.465        0.465
         9           5           4    8.78974      4.66414
         9           6           1    0.503        0.503
         9           6           2    1.088        1.088
         9           6           3    1.693        1.693
         9           6           4   24.3039      12.9476
         9           7           3   11.59        11.59
         9           7           4   11.45        11.45
         9           7           5  325.118       75.7276

Tabla R10
  Vivienda    Trabajador     Tiempo
----------  ------------  ---------
         1             1   0
