Variable,Valor
"z_fikp[1,3,2,20]",0.0
"z_fikp[1,3,2,21]",0.0
"z_fikp[1,3,2,22]",0.0
"z_fikp[1,3,2,23]",0.0
"z_fikp[1,3,2,24]",0.0
"z_fikp[1,3,2,25]",0.0
"z_fikp[1,3,2,26]",0.0
"z_fikp[1,3,2,27]",0.0
"z_fikp[1,3,2,28]",0.0
"z_fikp[1,3,2,29]",0.0
"z_fikp[1,3,2,30]",0.0
"z_fikp[1,3,3,1]",2.4999999999999987
"z_fikp[1,3,3,2]",0.0
"z_fikp[1,3,3,3]",0.0
"z_fikp[1,3,3,4]",0.0
"z_fikp[1,3,3,5]",0.0
"z_fikp[1,3,3,6]",0.0
"z_fikp[1,3,3,7]",0.0
"z_fikp[1,3,3,8]",0.0
"z_fikp[1,3,3,9]",0.0
"z_fikp[1,3,3,10]",0.0
"z_fikp[1,3,3,11]",0.0
"z_fikp[1,3,3,12]",0.0
"z_fikp[1,3,3,13]",0.0
"z_fikp[1,3,3,14]",0.0
"z_fikp[1,3,3,15]",0.0
"z_fikp[1,3,3,16]",0.0
"z_fikp[1,3,3,17]",0.0
"z_fikp[1,3,3,18]",0.0
"z_fikp[1,3,3,19]",0.0
"z_fikp[1,3,3,20]",0.0
"z_fikp[1,3,3,21]",0.0
"z_fikp[1,3,3,22]",0.0
"z_fikp[1,3,3,23]",0.0
"z_fikp[1,3,3,24]",0.0
"z_fikp[1,3,3,25]",2.5
"z_fikp[1,3,3,26]",2.5
"z_fikp[1,3,3,27]",2.5
"z_fikp[1,3,3,28]",2.5
"z_fikp[1,3,3,29]",2.5
"z_fikp[1,3,3,30]",2.5
"z_fikp[1,3,4,1]",2.499999999999999
"z_fikp[1,3,4,2]",0.0
"z_fikp[1,3,4,3]",0.0
"z_fikp[1,3,4,4]",0.0
"z_fikp[1,3,4,5]",0.0
"z_fikp[1,3,4,6]",0.0
"z_fikp[1,3,4,7]",0.0
"z_fikp[1,3,4,8]",0.0
"z_fikp[1,3,4,9]",0.0
"z_fikp[1,3,4,10]",0.0
"z_fikp[1,3,4,11]",0.0
"z_fikp[1,3,4,12]",0.0
"z_fikp[1,3,4,13]",0.0
"z_fikp[1,3,4,14]",0.0
"z_fikp[1,3,4,15]",0.0
"z_fikp[1,3,4,16]",0.0
"z_fikp[1,3,4,17]",0.0
"z_fikp[1,3,4,18]",0.0
"z_fikp[1,3,4,19]",0.0
"z_fikp[1,3,4,20]",0.0
"z_fikp[1,3,4,21]",0.0
"z_fikp[1,3,4,22]",0.0
"z_fikp[1,3,4,23]",0.0
"z_fikp[1,3,4,24]",0.0
"z_fikp[1,3,4,25]",0.4488267983945673
"z_fikp[1,3,4,26]",2.5
"z_fikp[1,3,4,27]",2.5
"z_fikp[1,3,4,28]",2.5
"z_fikp[1,3,4,29]",2.5
"z_fikp[1,3,4,30]",2.5
"z_fikp[1,3,5,1]",0.0
"z_fikp[1,3,5,2]",0.0
"z_fikp[1,3,5,3]",0.0
"z_fikp[1,3,5,4]",0.0
"z_fikp[1,3,5,5]",0.0
"z_fikp[1,3,5,6]",0.0
"z_fikp[1,3,5,7]",0.0
"z_fikp[1,3,5,8]",0.0
"z_fikp[1,3,5,9]",0.0
"z_fikp[1,3,5,10]",0.0
"z_fikp[1,3,5,11]",0.0
"z_fikp[1,3,5,12]",0.0
"z_fikp[1,3,5,13]",0.0
"z_fikp[1,3,5,14]",0.0
"z_fikp[1,3,5,15]",0.0
"z_fikp[1,3,5,16]",0.0
"z_fikp[1,3,5,17]",0.0
"z_fikp[1,3,5,18]",0.0
"z_fikp[1,3,5,19]",0.0
"z_fikp[1,3,5,20]",0.0
"z_fikp[1,3,5,21]",0.0
"z_fikp[1,3,5,22]",0.0
"z_fikp[1,3,5,23]",0.0
"z_fikp[1,3,5,24]",0.0
"z_fikp[1,3,5,25]",0.0
"z_fikp[1,3,5,26]",0.0
"z_fikp[1,3,5,27]",0.0
"z_fikp[1,3,5,28]",0.0
"z_fikp[1,3,5,29]",0.0
"z_fikp[1,3,5,30]",0.0
"z_fikp[1,3,6,1]",0.0
"z_fikp[1,3,6,2]",0.0
"z_fikp[1,3,6,3]",0.0
"z_fikp[1,3,6,4]",0.0
"z_fikp[1,3,6,5]",0.0
"z_fikp[1,3,6,6]",0.0
"z_fikp[1,3,6,7]",0.0
"z_fikp[1,3,6,8]",0.0
"z_fikp[1,3,6,9]",0.0
"z_fikp[1,3,6,10]",0.0
"z_fikp[1,3,6,11]",0.0
"z_fikp[1,3,6,12]",0.0
"z_fikp[1,3,6,13]",0.0
"z_fikp[1,3,6,14]",0.0
"z_fikp[1,3,6,15]",0.0
"z_fikp[1,3,6,16]",0.0
"z_fikp[1,3,6,17]",0.0
"z_fikp[1,3,6,18]",0.0
"z_fikp[1,3,6,19]",0.0
"z_fikp[1,3,6,20]",0.0
"z_fikp[1,3,6,21]",0.0
"z_fikp[1,3,6,22]",0.0
"z_fikp[1,3,6,23]",0.0
"z_fikp[1,3,6,24]",0.0
"z_fikp[1,3,6,25]",0.0
"z_fikp[1,3,6,26]",0.0
"z_fikp[1,3,6,27]",0.0
"z_fikp[1,3,6,28]",0.0
"z_fikp[1,3,6,29]",0.0
"z_fikp[1,3,6,30]",0.0
"z_fikp[1,3,7,1]",0.0
"z_fikp[1,3,7,2]",0.0
"z_fikp[1,3,7,3]",0.0
"z_fikp[1,3,7,4]",0.0
"z_fikp[1,3,7,5]",0.0
"z_fikp[1,3,7,6]",0.0
"z_fikp[1,3,7,7]",0.0
"z_fikp[1,3,7,8]",0.0
"z_fikp[1,3,7,9]",0.0
